component,ep_signed,ep_absmag,absmag_std,pct_abs
target_destroyed,5.9813,5.9813,0.0094,24.25
terminal_bonus,5.9672,5.9672,0.0187,24.19
escort,-4.2376,4.2376,0.0812,17.18
striker_approach,-2.6845,2.6845,0.0263,10.88
timestep_penalty,-2.1496,2.1496,0.0185,8.71
target_cover,-1.1876,1.1876,0.0061,4.81
formation,-0.7083,0.7083,0.0411,2.87
agent_destroyed,-0.7078,0.7078,0.1280,2.87
jammer_beam_alignment,-0.3621,0.3621,0.0053,1.47
control_effort,-0.3112,0.3112,0.0071,1.26
hf_margin_reward,-0.2034,0.2034,0.0063,0.82
jammer_beam_on_radar_bonus,0.1428,0.1428,0.0013,0.58
beam_control_effort,-0.0211,0.0211,0.0004,0.09
border_penalty,-0.0013,0.0013,0.0018,0.01
radar_avoidance,0.0000,0.0000,0.0000,0.00
jammer_approach,0.0000,0.0000,0.0000,0.00
striker_progress,0.0000,0.0000,0.0000,0.00
jammer_progress,0.0000,0.0000,0.0000,0.00
jammer_jam_bonus,0.0000,0.0000,0.0000,0.00
paper_mission,0.0000,0.0000,0.0000,0.00
separation_penalty,0.0000,0.0000,0.0000,0.00
jammer_coalition_coverage,0.0000,0.0000,0.0000,0.00

escort_subterm,ep_signed,std,pct_escort
striker_under,-0.1184,0.0087,2.8
jammer_under,-0.4844,0.0411,11.4
over,-3.4506,0.0591,81.4
attraction,-0.1842,0.0054,4.3

episode_length_mean,36.50
episode_length_median,36.00
