component,ep_signed,ep_absmag,absmag_std,pct_abs
target_destroyed,6.0000,6.0000,0.0000,26.79
terminal_bonus,6.0000,6.0000,0.0000,26.79
striker_approach,-2.7048,2.7048,0.0000,12.08
escort,-2.6450,2.6450,0.0000,11.81
timestep_penalty,-2.1514,2.1514,0.0000,9.61
target_cover,-1.2076,1.2076,0.0000,5.39
formation,-0.5494,0.5494,0.0000,2.45
control_effort,-0.4172,0.4172,0.0000,1.86
jammer_beam_alignment,-0.3121,0.3121,0.0000,1.39
hf_margin_reward,-0.1762,0.1762,0.0000,0.79
jammer_beam_on_radar_bonus,0.1429,0.1429,0.0000,0.64
agent_destroyed,-0.0703,0.0703,0.0000,0.31
beam_control_effort,-0.0216,0.0216,0.0000,0.10
border_penalty,0.0000,0.0000,0.0000,0.00
radar_avoidance,0.0000,0.0000,0.0000,0.00
jammer_approach,0.0000,0.0000,0.0000,0.00
striker_progress,0.0000,0.0000,0.0000,0.00
jammer_progress,0.0000,0.0000,0.0000,0.00
jammer_jam_bonus,0.0000,0.0000,0.0000,0.00
paper_mission,0.0000,0.0000,0.0000,0.00
separation_penalty,0.0000,0.0000,0.0000,0.00
jammer_coalition_coverage,0.0000,0.0000,0.0000,0.00

escort_subterm,ep_signed,std,pct_escort
striker_under,-0.0565,0.0000,2.1
jammer_under,-0.1582,0.0000,6.0
over,-2.3415,0.0000,88.5
attraction,-0.0888,0.0000,3.4

episode_length_mean,35.88
episode_length_median,36.00
